,Day,t,year,month,day,month_name
0,2008-01-01,0,2008,1,1,Январь
1,2008-01-02,-5,2008,1,2,Январь
2,2008-01-03,-11,2008,1,3,Январь
3,2008-01-04,-11,2008,1,4,Январь
4,2008-01-05,-12,2008,1,5,Январь
5,2008-01-06,-14,2008,1,6,Январь
6,2008-01-07,-6,2008,1,7,Январь
7,2008-01-08,-7,2008,1,8,Январь
8,2008-01-09,-6,2008,1,9,Январь
9,2008-01-10,0,2008,1,10,Январь
10,2008-01-11,2,2008,1,11,Январь
11,2008-01-12,3,2008,1,12,Январь
12,2008-01-13,2,2008,1,13,Январь
13,2008-01-14,3,2008,1,14,Январь
14,2008-01-15,2,2008,1,15,Январь
15,2008-01-16,2,2008,1,16,Январь
16,2008-01-17,2,2008,1,17,Январь
17,2008-01-18,1,2008,1,18,Январь
18,2008-01-19,1,2008,1,19,Январь
19,2008-01-20,2,2008,1,20,Январь
20,2008-01-21,2,2008,1,21,Январь
21,2008-01-22,1,2008,1,22,Январь
22,2008-01-23,-1,2008,1,23,Январь
23,2008-01-24,-1,2008,1,24,Январь
24,2008-01-25,2,2008,1,25,Январь
25,2008-01-26,1,2008,1,26,Январь
26,2008-01-27,-1,2008,1,27,Январь
27,2008-01-28,-4,2008,1,28,Январь
28,2008-01-29,0,2008,1,29,Январь
29,2008-01-30,2,2008,1,30,Январь
30,2008-01-31,1,2008,1,31,Январь
31,2008-02-01,0,2008,2,1,Февраль
32,2008-02-02,2,2008,2,2,Февраль
33,2008-02-03,0,2008,2,3,Февраль
34,2008-02-04,0,2008,2,4,Февраль
35,2008-02-05,0,2008,2,5,Февраль
36,2008-02-06,1,2008,2,6,Февраль
37,2008-02-07,1,2008,2,7,Февраль
38,2008-02-08,2,2008,2,8,Февраль
39,2008-02-09,2,2008,2,9,Февраль
40,2008-02-10,2,2008,2,10,Февраль
41,2008-02-11,3,2008,2,11,Февраль
42,2008-02-12,0,2008,2,12,Февраль
43,2008-02-13,1,2008,2,13,Февраль
44,2008-02-14,-1,2008,2,14,Февраль
45,2008-02-15,-6,2008,2,15,Февраль
46,2008-02-16,-6,2008,2,16,Февраль
47,2008-02-17,-2,2008,2,17,Февраль
48,2008-02-18,-1,2008,2,18,Февраль
49,2008-02-19,-3,2008,2,19,Февраль
50,2008-02-20,-2,2008,2,20,Февраль
51,2008-02-21,-1,2008,2,21,Февраль
52,2008-02-22,3,2008,2,22,Февраль
53,2008-02-23,2,2008,2,23,Февраль
54,2008-02-24,-4,2008,2,24,Февраль
55,2008-02-25,2,2008,2,25,Февраль
56,2008-02-26,2,2008,2,26,Февраль
57,2008-02-27,4,2008,2,27,Февраль
58,2008-02-28,1,2008,2,28,Февраль
59,2008-02-29,-1,2008,2,29,Февраль
60,2008-03-01,1,2008,3,1,Март
61,2008-03-02,-1,2008,3,2,Март
62,2008-03-03,-3,2008,3,3,Март
63,2008-03-04,-3,2008,3,4,Март
64,2008-03-05,-4,2008,3,5,Март
65,2008-03-06,0,2008,3,6,Март
66,2008-03-07,1,2008,3,7,Март
67,2008-03-08,0,2008,3,8,Март
68,2008-03-09,2,2008,3,9,Март
69,2008-03-10,7,2008,3,10,Март
70,2008-03-11,8,2008,3,11,Март
71,2008-03-12,3,2008,3,12,Март
72,2008-03-13,3,2008,3,13,Март
73,2008-03-14,5,2008,3,14,Март
74,2008-03-15,2,2008,3,15,Март
75,2008-03-16,1,2008,3,16,Март
76,2008-03-17,2,2008,3,17,Март
77,2008-03-18,2,2008,3,18,Март
78,2008-03-19,0,2008,3,19,Март
79,2008-03-20,-2,2008,3,20,Март
80,2008-03-21,-3,2008,3,21,Март
81,2008-03-22,0,2008,3,22,Март
82,2008-03-23,2,2008,3,23,Март
83,2008-03-24,-1,2008,3,24,Март
84,2008-03-25,-1,2008,3,25,Март
85,2008-03-26,1,2008,3,26,Март
86,2008-03-27,-1,2008,3,27,Март
87,2008-03-28,1,2008,3,28,Март
88,2008-03-29,6,2008,3,29,Март
89,2008-03-30,7,2008,3,30,Март
90,2008-03-31,12,2008,3,31,Март
91,2008-04-01,13,2008,4,1,Апрель
92,2008-04-02,11,2008,4,2,Апрель
93,2008-04-03,12,2008,4,3,Апрель
94,2008-04-04,7,2008,4,4,Апрель
95,2008-04-05,12,2008,4,5,Апрель
96,2008-04-06,11,2008,4,6,Апрель
97,2008-04-07,12,2008,4,7,Апрель
98,2008-04-08,11,2008,4,8,Апрель
99,2008-04-09,5,2008,4,9,Апрель
100,2008-04-10,5,2008,4,10,Апрель
101,2008-04-11,4,2008,4,11,Апрель
102,2008-04-12,7,2008,4,12,Апрель
103,2008-04-13,8,2008,4,13,Апрель
104,2008-04-14,4,2008,4,14,Апрель
105,2008-04-15,6,2008,4,15,Апрель
106,2008-04-16,4,2008,4,16,Апрель
107,2008-04-17,8,2008,4,17,Апрель
108,2008-04-18,4,2008,4,18,Апрель
109,2008-04-19,5,2008,4,19,Апрель
110,2008-04-20,8,2008,4,20,Апрель
111,2008-04-21,10,2008,4,21,Апрель
112,2008-04-22,8,2008,4,22,Апрель
113,2008-04-23,9,2008,4,23,Апрель
114,2008-04-24,9,2008,4,24,Апрель
115,2008-04-25,12,2008,4,25,Апрель
116,2008-04-26,13,2008,4,26,Апрель
117,2008-04-27,14,2008,4,27,Апрель
118,2008-04-28,16,2008,4,28,Апрель
119,2008-04-29,18,2008,4,29,Апрель
120,2008-04-30,21,2008,4,30,Апрель
121,2008-05-01,21,2008,5,1,Май
122,2008-05-02,22,2008,5,2,Май
123,2008-05-03,20,2008,5,3,Май
124,2008-05-04,21,2008,5,4,Май
125,2008-05-05,11,2008,5,5,Май
126,2008-05-07,10,2008,5,7,Май
127,2008-05-08,12,2008,5,8,Май
128,2008-05-09,14,2008,5,9,Май
129,2008-05-10,18,2008,5,10,Май
130,2008-05-11,22,2008,5,11,Май
131,2008-05-12,11,2008,5,12,Май
132,2008-05-13,9,2008,5,13,Май
133,2008-05-14,7,2008,5,14,Май
134,2008-05-15,6,2008,5,15,Май
135,2008-05-16,10,2008,5,16,Май
136,2008-05-17,12,2008,5,17,Май
137,2008-05-18,11,2008,5,18,Май
138,2008-05-19,11,2008,5,19,Май
139,2008-05-20,12,2008,5,20,Май
140,2008-05-21,14,2008,5,21,Май
141,2008-05-22,14,2008,5,22,Май
142,2008-05-23,11,2008,5,23,Май
143,2008-05-24,13,2008,5,24,Май
